,Max_peak_time,Time_array,Signal_array,Duration,Index_start,Index_end,Oscillation_events,Num_peaks,Peaks_indexes,Peaks_heights,Instant_frequency,Indices_frequency,Mean_frequency,Spikes_per_cycle,Short_freq_time_slope,Long_freq_time_slope
14,10499.507,[-40.005 -40.004 -40.003 ...  27.971  27.972  27.973],[2.52427828 2.52542551 2.52657007 ... 1.58700502 1.58668903 1.58637419],67.979,10459502,10527481,"{'Start_end': array([[ 2103,  6130,  8812, 13285, 17711, 23768, 28461, 33354, 38131,
        43015, 47676, 53472, 58407, 64440],
       [ 4861,  8812, 12374, 17711, 23183, 27090, 31819, 36944, 41879,
        47149, 53472, 58178, 63221, 67978]])}",14,"[ 3482  7471 10593 15498 20447 25429 30140 35149 40005 45082 50574 55825
 60814 66209]","[10.55466057 12.67600268 11.901897   21.29566623 21.09146898 17.97135315
 27.08199369 34.56831897 52.84017782 52.64738555 41.32652364 22.26995902
 19.97314294 10.73941019]","[250.68939584 320.3074952  203.87359837 202.06102243 200.72260136
 212.26915729 199.64064684 205.93080725 196.96671263 182.08302986
 190.43991621 200.44097013 185.35681186]","[ 5476  9032 13045 17972 22938 27784 32644 37577 42543 47828 53199 58319
 63511]",211.59862809717686,"[24.70457449 26.04996984 32.32303376 46.69570973 62.92328163 38.08506199
 57.85109054 70.55423919 89.95242968 93.02912664 85.00622288 52.18856554
 47.33956004 25.37650448]",-0.40481930902992475,-1.2255948013577447
15,11447.499,[-14.514 -14.513 -14.512 ...   5.387   5.388   5.389],[3.58498287 3.58652012 3.58805672 ... 1.08723835 1.08721662 1.08719895],19.904,11432985,11452889,"{'Start_end': array([[ 3312,  9550, 12382],
       [ 8032, 12382, 16646]])}",3,[ 5672 10966 14514],[11.68296418 10.91938751 15.90754457],[188.89308651 281.84892897],[ 8319 12740],235.37100774355176,[37.26557487 22.63229124 38.7709297 ],21.02597658019369,21.02597658019369
17,13064.720000000001,[-30.523 -30.522 -30.521 ...  69.61   69.611  69.612],[0.40683951 0.51898002 0.51845783 ... 2.1771139  2.1768308  2.17655044],100.136,13034197,13134333,"{'Start_end': array([[ 5615, 13878, 18202, 23535, 28696, 33506, 38628, 44310, 49076,
        53792, 58985, 64508, 69144, 74384, 79615, 84433, 90550, 95272],
       [13023, 18202, 23034, 27871, 32350, 38076, 43808, 48646, 53792,
        58918, 63607, 68852, 73780, 79082, 84433, 89923, 95272, 99256]])}",18,"[ 9319 16040 20618 25703 30523 35791 41218 46478 51434 56355 61296 66680
 71462 76733 82024 87178 92911 97264]","[12.81605234 22.02631791 36.84061072 43.45239887 43.76199396 28.83648147
 24.68452015 36.6483441  34.54324198 42.81634072 39.37943024 34.59911103
 35.42956996 34.31370153 35.40382921 32.46833833 25.21250485 21.41893301]","[148.78738283 218.43599825 196.65683382 207.46887967 189.82536067
 184.26386586 190.11406844 201.7756255  203.21072953 202.38818053
 185.73551263 209.11752405 189.71732119 189.000189   194.02405898
 174.42874586 229.72662532]","[12679 18329 23160 28113 33157 38504 43848 48956 53894 58825 63988 69071
 74097 79378 84601 90044 95087]",194.98099424285252,"[72.47975319 63.54903725 77.09805093 86.13208927 85.04447688 64.59879353
 64.07857024 66.38988421 68.92586959 79.70342131 77.65702294 68.15344325
 69.20887599 79.65270508 70.78427859 73.13644293 52.82260879 49.67182906]",0.41670896435270777,0.14370624792440873
18,13167.565,[-68.86  -68.859 -68.858 ...  25.642  25.643  25.644],[2.04413363 2.15532726 2.15386181 ... 2.54706834 2.54601121 2.5449536 ],94.505,13098705,13193210,"{'Start_end': array([[    0,  4636,  9876, 15107, 19925, 26042, 30764, 34971, 40859,
        45452, 51155, 56345, 61643, 66864, 72352, 76826, 81945, 86373],
       [ 4344,  9272, 14574, 19925, 25415, 30764, 34748, 40859, 44825,
        50854, 54989, 61101, 66369, 70856, 75878, 81788, 85877, 91757]])}",18,"[ 2172  6954 12225 17516 22670 28403 32756 37915 42842 48153 53072 58723
 64006 68860 74115 79307 83911 89065]","[34.59911103 35.42956996 34.31370153 35.40382921 32.46833833 25.21250485
 21.41893301 33.08786013 35.31498774 35.4679887  33.95604101 24.92685226
 19.95156013 19.47168563 16.08501748 11.77190459 15.49701467 13.63379846]","[209.11752405 189.71732119 189.000189   194.02405898 174.42874586
 229.72662532 193.83601473 202.96326365 188.28845792 203.29335231
 176.95983012 189.28639031 206.01565719 190.29495718 192.60400616
 217.20243267 194.02405898]","[ 4563  9589 14870 20093 25536 30579 35335 40378 45497 50612 55897 61364
 66433 71487 76711 81609 86488]",196.5166403304076,"[68.15344325 69.20887599 79.65270508 70.78427859 73.13644293 52.82260879
 49.67182906 86.52044261 77.58821595 80.85929778 71.09432107 60.0250718
 58.46995187 42.36040946 41.83970428 35.4524263  35.75352299 32.24223886]",0.3019518399359049,0.02212653133267066
20,13557.915,[-21.527 -21.526 -21.525 ...  29.009  29.01   29.011],[2.95148572 2.95282502 2.95416298 ... 2.2342307  2.2339224  2.23361352],50.539,13536388,13586927,"{'Start_end': array([[    0,  5426,  9715, 14825, 19357, 23841, 29585, 35841, 40888,
        44846],
       [ 3736,  8446, 13471, 18787, 23697, 29349, 34423, 39283, 44846,
        49714]])}",10,[ 1868  6936 11593 16806 21527 26595 32004 37562 42867 47280],"[10.69860809 13.6551371  27.39729683 29.89893447 46.52375913 34.20350878
 34.49234247 24.5538394  15.91897893 13.33865207]","[197.31649566 214.73051321 191.828122   211.81952976 197.31649566
 184.87705676 179.92083483 188.50141376 226.60321777]",[ 4402  9264 14199 19166 24061 29299 34783 40214 45073],199.21263104483955,"[27.0409888  30.88093052 60.25390072 68.08771614 91.66865007 79.20081597
 79.0927639  50.14000662 34.2393566  36.13205003]",-0.6353759799715814,-0.038636508986033824
21,14346.476,[-23.308 -23.307 -23.306 ...  14.506  14.507  14.508],[7.32167444 7.32526038 7.32884345 ... 2.14962122 2.14958683 2.14955155],37.817,14323168,14360985,"{'Start_end': array([[ 1188,  6432, 10958, 16352, 20663, 25955, 31309],
       [ 6072, 10958, 15102, 20200, 25953, 31309, 37035]])}",7,[ 3630  8695 13030 18276 23308 28632 34172],"[16.66051256 20.34930999 32.40445165 43.3114498  47.65691842 23.21139873
 10.86011638]","[197.43336624 230.6805075  190.62142585 198.7281399  187.82870023
 180.50541516]",[ 6162 10862 15653 20792 25970 31402],197.63292581278935,"[ 55.65229059  61.12875609  87.46828914  98.22325275 109.98451513
  64.56204554  30.82640547]",-1.169253141691082,-1.169253141691082
22,14592.77,[-28.403 -28.402 -28.401 ...  13.393  13.394  13.395],[2.80398297 2.91587405 2.91510101 ... 0.78927962 0.78903603 0.78879592],41.799,14564367,14606166,"{'Start_end': array([[ 1274,  7226, 10627, 16992, 20992, 25826, 31601, 36758],
       [ 6446, 10436, 16563, 20992, 25298, 30980, 35603, 40244]])}",8,[ 3860  8831 13595 18992 23145 28403 33602 38501],"[10.49299876 17.60118286 19.2139211  23.56352731 27.77292523 34.56336027
 21.77231327 14.59022219]","[201.16676725 209.90764064 185.28812303 240.78979051 190.18638266
 192.34468167 204.12329047]",[ 6345 11213 16293 21068 25774 31002 36051],203.40095374633734,"[38.30034114 45.22032188 76.4144955  59.12642558 68.56346621 69.96136647
 48.86866334 31.21131403]",-0.337594717793753,-0.15533557240212797
25,17909.826,[-20.695 -20.694 -20.693 ...  19.464  19.465  19.466],[1.02163446 1.02163446 1.02163974 ... 1.0692675  1.06898301 1.0686982 ],40.162,17889131,17929293,"{'Start_end': array([[ 1632,  9616, 14008, 18939, 23514, 28925, 34559],
       [ 9616, 12860, 18144, 22451, 27922, 34559, 39185]])}",7,[ 5624 11238 16076 20695 25718 31742 36872],"[11.4571811  28.00251915 38.9535039  56.97821844 48.75106966 24.87321605
 16.15599338]","[178.12611329 206.69698222 216.49707729 199.08421262 166.00265604
 194.93177388]",[ 8431 13657 18385 23206 28730 34307],193.55646922421704,"[64.15839744 52.08400192 86.10447298 97.630005   97.42231373 72.45970792
 42.34165485]",-0.315048611823675,-0.315048611823675
26,18417.353,[-44.135 -44.134 -44.133 ...   8.861   8.862   8.863],[3.41479862 3.41507584 3.4153509  ... 1.99860711 1.99921709 1.99982753],52.999,18373218,18426217,"{'Start_end': array([[ 1046,  5718, 12197, 17359, 22243, 27427, 32235, 37097, 41683,
        46923],
       [ 5718, 11314, 16467, 22145, 25707, 30979, 35779, 40831, 46587,
        51479]])}",10,[ 3382  8516 14332 19752 23975 29203 34007 38964 44135 49201],"[10.2299373  15.61315296 19.60915359 15.15806931 21.91932607 28.21923046
 36.05153708 41.8225288  43.05617265 23.52632798]","[194.77989871 171.9394773  184.50184502 236.79848449 191.27773527
 208.15986678 201.73492031 193.38619223 197.394394  ]",[ 5949 11424 17042 21863 26589 31605 36485 41549 46668],197.77475712396478,"[34.90194396 59.51996159 54.0376518  41.72563788 47.44760128 59.95030779
 68.31490299 82.71316892 82.09656587 46.53983496]",-0.05087591283871905,0.2723796612590449
27,18684.73,[-17.454 -17.453 -17.452 ...  19.137  19.138  19.139],[5.84677899 5.84845118 5.85012234 ... 1.61632688 1.61677849 1.61723653],36.594,18667276,18703870,"{'Start_end': array([[ 1462,  5809, 10624, 15216, 19891, 24768, 30677],
       [ 5770, 10527, 15092, 19692, 24763, 30450, 36565]])}",7,[ 3616  8168 12858 17454 22327 27609 33621],"[14.41877168 11.8427523  44.29277456 60.99083137 49.30990119 36.91807403
 18.45323098]","[219.68365554 213.2196162  217.58050479 205.21239483 189.32222643
 166.33399867]",[ 5892 10513 15156 19890 24968 30615],201.89206607580806,"[ 44.15446237  40.97234395  89.01138968 103.16411978 103.22600593
  83.8473328   51.91740762]",-2.0735184149235772,-2.0735184149235772
