,Max_peak_time,Time_array,Signal_array,Duration,Index_start,Index_end,Oscillation_events,Num_peaks,Peaks_indexes,Peaks_heights,Instant_frequency,Indices_frequency,Mean_frequency,Spikes_per_cycle,Short_freq_time_slope,Long_freq_time_slope
45,30578.983,[-21.184 -21.183 -21.182 ...  19.983  19.984  19.985],[1.70195054 1.81436461 1.8141195  ... 0.67107445 0.67227146 0.6734725 ],41.17,30557799,30598969,"{'Start_end': array([[  182,  4100,  9927, 13977, 18881, 23552, 29295, 34980],
       [ 3820,  9304, 13925, 18881, 23487, 28808, 34111, 40890]])}",8,[ 2001  6702 11926 16429 21184 26180 31703 37935],"[11.22276187 16.49178195 25.40082581 39.73602655 56.38276247 46.80752923
 33.12204668 12.19445737]","[212.72069772 191.42419602 222.07417277 210.30494217 200.1601281
 181.06101756 160.46213094]",[ 4351  9314 14177 18806 23682 28941 34819],196.8867550406589,"[27.1367851  47.79926895 53.76373874 84.96312073 98.16207014 94.73157817
 74.298402   43.63278956]",-1.4537844795887347,-1.4537844795887347
47,32320.193,[-6.756 -6.755 -6.754 ...  7.017  7.018  7.019],[0.6271193  0.62806948 0.62901858 ... 2.56091112 2.56213049 2.56335323],13.776,32313437,32327213,"{'Start_end': array([[ 4548,  9340],
       [ 8964, 13714]])}",2,[ 6756 11527],[14.78961453 14.23182649],[209.59966464],[9141],209.59966464053656,[40.67814774 38.30901679],,
48,32646.618000000002,[-45.032 -45.031 -45.03  ...  19.566  19.567  19.568],[0.         0.         0.         ... 1.12108996 1.11998186 1.1188763 ],64.601,32601586,32666187,"{'Start_end': array([[ 4813, 12832, 17504, 22247, 28267, 33143, 37201, 42683, 47670,
        53347, 58985],
       [12679, 17390, 22906, 28267, 32245, 37201, 42385, 47381, 53118,
        58267, 61793]])}",11,[ 8746 15111 20205 25257 30256 35172 39793 45032 50394 55807 60389],"[10.72503251 17.62364064 13.35232736 19.66347187 22.68136301 36.07240454
 40.03453007 44.41924325 30.40499627 13.6576525  14.95117907]","[157.10919089 196.30938359 197.94140934 200.040008   203.41741253
 216.40337589 190.8761214  186.49757553 184.74043968 218.24530773]",[11928 17658 22731 27756 32714 37482 42412 47713 53100 58098],195.15802245806753,"[48.62752405 50.78689694 48.41100916 54.54032029 55.06822451 75.47132325
 91.3684999  89.22586298 70.48391724 39.09669898 28.36265735]",-0.08761617660093363,0.4824287848690157
49,32771.182,[-10.228 -10.227 -10.226 ...  68.89   68.891  68.892],[0.         0.         0.         ... 2.93077696 2.93060019 2.9304251 ],79.121,32760954,32840075,"{'Start_end': array([[ 6700, 13756,  7428, 23090, 27322, 32806, 39170, 43770, 48907,
        53855, 58557, 63642, 69080, 75500],
       [13756, 16984, 33382, 27322, 32454, 39170, 42626, 48318, 53855,
        58161, 63065, 68006, 73004, 79120]])}",14,"[10228 15370 20405 25206 29888 35988 40898 46044 51381 56008 60811 65824
 71042 77310]","[16.43615858 16.06973375 17.21690646 16.67685132 17.14311815 17.28679933
 20.38960388 24.51562294 24.70510267 36.92395525 46.1513376  37.94041057
 34.93553078 17.20500441]","[194.47685725 198.60973188 208.2899396  213.58393849 163.93442623
 203.66598778 194.32568986 187.37118231 216.12275773 208.20320633
 199.48134849 191.64430816 159.54052329]","[12799 17887 22805 27547 32938 38443 43471 48712 53694 58409 63317 68433
 74176]",195.3269151845497,"[ 68.22105914  38.52452954 260.00092593  47.79182773  50.65765985
  64.0554814   47.72345017  60.45530432  63.09512557  75.85518098
  89.80490509  79.57116703  76.52391527  43.20741603]",1.3617270072054053,-0.2269827001273531
50,32872.497,[-67.773 -67.772 -67.771 ...  19.718  19.719  19.72 ],[2.96635199 2.9673933  2.9684364  ... 1.87839243 1.87912801 1.76719968],87.494,32804724,32892218,"{'Start_end': array([[    0,  5137, 10085, 14787, 19872, 25310, 31729, 36187, 39821,
        46107, 50838, 56323, 61030, 65718, 70055, 76339, 81246],
       [ 4548, 10085, 14391, 19295, 24236, 29234, 35351, 41121, 46107,
        49815, 55208, 60047, 64930, 69828, 75503, 80431, 85516]])}",17,"[ 2274  7611 12238 17041 22054 27272 33540 38654 42964 47961 53023 58185
 62980 67773 72779 78385 83381]","[24.51562294 24.70510267 36.92395525 46.1513376  37.94041057 34.93553078
 17.20500441 15.8511431  19.44262659 28.48772769 27.11023104 28.33982417
 37.0944707  56.04135608 41.81533303 32.22966171 19.28727957]","[187.37118231 216.12275773 208.20320633 199.48134849 191.64430816
 159.54052329 195.54165037 232.01856148 200.12007204 197.55037535
 193.72336304 208.55057351 208.63759649 199.76028765 178.38030681
 200.1601281 ]","[ 4942  9924 14639 19547 24663 30406 36097 40809 45462 50492 55604 60582
 65376 70276 75582 80883]",198.55039007388532,"[60.45530432 63.09512557 75.85518098 89.80490509 79.57116703 76.52391527
 43.21788776 43.13089816 49.26327594 60.6300922  59.59502171 60.35112922
 78.66967006 97.35515535 85.52203081 67.94766794 46.23782866]",-0.22632194475583123,-0.012865606931293835
51,33240.936,[-19.724 -19.723 -19.722 ...   3.248   3.249   3.25 ],[0.17082793 0.2833364  0.28318295 ... 2.18639761 2.1860714  2.18575008],22.975,33221212,33244187,"{'Start_end': array([[ 8669, 13761, 16474],
       [12555, 17763, 22974]])}",3,[10612 15762 19724],[12.88193266 12.10551811 15.55870544],[194.17475728 252.3977789 ],[13187 17743],223.28626809054953,[32.75361552 38.96148513 48.72872042],12.779416509655903,12.779416509655903
53,35682.177,[-24.266 -24.265 -24.264 ...  25.241  25.242  25.243],[5.24393478 5.35684408 5.357086   ... 1.80326787 1.80385542 1.80444267],49.51,35657911,35707421,"{'Start_end': array([[  497,  6358,  8717, 12525, 17241, 21870, 26662, 32393, 38524,
        44157],
       [ 5547,  7826, 12159, 17141, 21673, 26662, 32370, 38345, 43134,
        48757]])}",10,[ 3022  7092 10438 14833 19457 24266 29516 35369 40829 46457],"[10.4585007  10.19684793 15.31748021 34.33625931 52.71901874 57.64553386
 40.66502203 26.60426527 16.65275036 11.29706687]","[245.7002457  298.8643156  227.53128555 216.26297578 207.94343938
 190.47619048 170.85255425 183.15018315 177.6830135 ]",[ 5057  8765 12635 17145 21861 26891 32442 38099 43643],213.16268926574764,"[ 40.26886002  14.10802092  38.18679327  81.40204132  97.68344252
 108.37075759 103.34375617  79.22461042  39.12427526  32.48832621]",-2.551407605366276,-2.551407605366276
54,36131.432,[-45.572 -45.571 -45.57  ...  69.298  69.299  69.3  ],[0.13695012 0.24954644 0.24948078 ... 2.44314418 2.44275624 2.44237008],114.873,36085860,36200733,"{'Start_end': array([[ 16450,  23587,  28545,  33837,  38288,  43263,  47881,  54104,
         59317,  64033,  68905,  74527,  79607,  84635,  89325,  93541,
         99680, 104468, 109237],
       [ 22838,  28545,  33083,  37235,  43062,  47881,  53513,  58454,
         64015,  68469,  74145,  78309,  83807,  87679,  93541,  99389,
        103414, 108786, 114763]])}",19,"[ 19644  26066  30814  35536  40675  45572  50697  56279  61666  66251
  71525  76418  81707  86157  91433  96465 101547 106627 112000]","[15.1171928  17.7931117  28.92212599 43.24719125 41.45559788 49.82922537
 41.43754963 28.51198726 22.06282706 21.81253121 15.67057548 21.08094677
 21.9851408  22.29234407 33.93328136 37.82016692 30.93923273 41.69853034
 30.596035  ]","[155.71473061 210.61499579 211.77467175 194.59038723 204.20665714
 195.12195122 179.14725905 185.63207722 218.10250818 189.60940463
 204.37359493 189.07165816 224.71910112 189.53752843 198.7281399
 196.77292405 196.8503937  186.11576401]","[ 22855  28440  33175  38105  43123  48134  53488  58972  63958  68888
  73971  79062  83932  88795  93949  99006 104087 109313]",196.14909706208536,"[64.80945265 57.15890433 69.9682229  76.23533939 85.64215545 90.26874399
 88.57837397 56.454433   54.35840923 54.67284703 47.73277175 50.7261524
 59.37437147 48.58971054 69.26182467 77.81665951 61.05257112 82.66072529
 73.45446923]",-0.305736586969323,0.064862947230211
55,36233.027,[-67.56  -67.559 -67.558 ...   8.863   8.864   8.865],[1.83881157 1.95169939 1.95192288 ... 2.29781558 2.29749358 2.29718023],76.426,36165467,36241893,"{'Start_end': array([[    0,  5028,  9862, 13934, 20073, 24861, 29630, 34617, 40245,
        45389, 50524, 55896, 61077, 65709, 70862],
       [ 4200,  8072, 13790, 19782, 23807, 29179, 35156, 39797, 44603,
        50079, 55642, 60426, 65033, 69411, 74844]])}",15,"[ 2100  6550 11826 16858 21940 27020 32393 37207 42424 47734 53083 58161
 63055 67560 72853]","[21.9851408  22.29234407 33.93328136 37.82016692 30.93923273 41.69853034
 30.596035   43.9507227  40.4084965  25.52487139 21.98660854 21.47146957
 19.70553844 16.95655923 15.38764938]","[224.71910112 189.53752843 198.7281399  196.77292405 196.8503937
 186.11576401 207.72746157 191.68104274 188.32391714 186.95083193
 196.92792438 204.3318349  221.97558269 188.92877385]","[ 4325  9188 14342 19399 24480 29706 34800 39815 45079 50408 55622 60608
 65307 70206]",198.5408014580123,"[59.37437147 48.58971054 68.25799742 77.81665951 61.05257112 82.66072529
 73.45446923 85.92470873 75.93061566 58.80763376 51.43222094 49.90679493
 49.97340731 40.37985363 35.00169769]",0.5979277288074724,-0.04932568985863134
57,37299.114,[-7.97  -7.969 -7.968 ... 12.23  12.231 12.232],[6.53476526 6.64609892 6.64476609 ... 0.16600481 0.1654086  0.16481387],20.203,37291144,37311347,"{'Start_end': array([[ 1557,  5259, 11192, 14828],
       [ 4325, 10681, 14828, 18202]])}",4,[ 2941  7970 13010 16515],[11.62936371 13.63908476 12.27993576 10.38152605],[198.8466892  198.41269841 285.30670471],[ 5455 10490 14762],227.52203077429462,[24.94864818 57.6421125  36.66439096 28.92585636],9.013179806117746,9.013179806117746
58,37774.167,[-26.682 -26.681 -26.68  ...  15.529  15.53   15.531],[3.18631924 3.29830292 3.2976236  ... 1.9255214  1.92578201 1.92604829],42.214,37747485,37789699,"{'Start_end': array([[    0,  4801,  9531, 14935, 19850, 24622, 28742, 35846],
       [ 4002, 10241, 14935, 19537, 24226, 28742, 34454, 41060]])}",8,[ 2001  7521 12233 17236 22038 26682 31598 38453],"[20.83334753 11.21518119 21.75218767 27.10067742 46.55046974 53.82599689
 37.20072845 18.9801251 ]","[181.15942029 212.22410866 199.88007196 208.24656393 215.33161068
 203.41741253 145.8789205 ]",[ 4761  9877 14734 19637 24360 29140 35025],195.16258693486688,"[ 46.30900988  41.33570757  60.86958299  73.1947067   98.69876578
  98.66471625 105.83903313  51.00466614]",-1.875593227504458,-0.8203126372956338
59,38215.684,[-22.894 -22.893 -22.892 ...  33.965  33.966  33.967],[4.2726482  4.27344803 4.27424378 ... 0.41692405 0.41661792 0.41631602],56.862,38192790,38249652,"{'Start_end': array([[ 2812,  5411, 10274, 15702, 20659, 25292, 31202, 36643, 41081],
       [ 5182,  9939, 15702, 20086, 25129, 30820, 35704, 40645, 45693]])}",9,[ 3997  7675 12988 17894 22894 28056 33453 38644 43387],"[13.0679074  17.59768403 25.09357039 34.91631937 47.90032555 34.67019403
 27.98495071 18.81960585 10.25230219]","[271.88689505 188.21757952 203.8320424  200.         193.72336304
 185.28812303 192.64110961 210.83702298]",[ 5836 10331 15441 20394 25475 30754 36048 41015],205.80326695419672,"[25.80554367 56.90302221 66.44342259 78.32052854 89.68211909 74.45691735
 64.63957199 43.92359304 31.81252315]",-1.0663080226893207,-1.0663080226893207
60,38614.201,[-20.992 -20.991 -20.99  ...  14.622  14.623  14.624],[3.97158856 3.97320571 3.97481699 ... 0.72113914 0.72096815 0.72079898],35.617,38593209,38628826,"{'Start_end': array([[ 2710,  9656, 14070, 18994, 23465, 30128],
       [ 9656, 12890, 18120, 22990, 30065, 33912]])}",6,[ 6183 11273 16095 20992 26765 32020],[22.62640971 32.01194311 47.46141824 49.09253801 26.39956963 13.36414131],[196.46365422 207.3828287  204.20665714 173.22016283 190.29495718],[ 8728 13684 18543 23878 29392],194.3136520146725,[92.02482375 68.86106144 96.27918118 94.8854131  68.46124897 30.33387568],-0.9062186280075734,-0.9062186280075734
61,40282.869,[-23.405 -23.404 -23.403 ...  15.091  15.092  15.093],[0.         0.         0.         ... 2.51079422 2.50988365 2.50897229],38.499,40259464,40297963,"{'Start_end': array([[14344, 17466, 27733, 32901],
       [17466, 29344, 32901, 36931]])}",4,[15905 23405 30317 34916],[11.39638904 20.08424591 17.14623184 17.23544838],[133.33333333 144.67592593 217.4385736 ],[19655 26861 32616],165.1492776207388,[ 28.73515666 156.46635107  70.12121036  47.40699742],6.286000663492429,6.286000663492429
64,42035.089,[-6.97  -6.969 -6.968 ...  2.306  2.307  2.308],[4.33462963 4.33625283 4.33787299 ... 3.74306608 3.74352607 3.74398546],9.279,42028119,42037398,"{'Start_end': array([[ 717, 4680],
       [3801, 9260]])}",2,[2259 6970],[12.66832282 13.88364687],[212.26915729],[4614],212.26915729144557,[26.29553807 37.68196042],,
65,44723.185,[-37.3   -37.299 -37.298 ...  24.082  24.083  24.084],[5.37722823 5.48813929 5.48638642 ... 1.2255375  1.22472359 1.22390718],61.385,44685885,44747270,"{'Start_end': array([[    0,  5498,  9531, 15157, 19890, 24643, 29715, 35216, 40751,
        45588, 50830, 56203],
       [ 5180,  8892, 13997, 19265, 24520, 29715, 34375, 39384, 44753,
        50154, 55318, 60139]])}",12,[ 2590  7195 11764 17211 22205 27179 32045 37300 42752 47871 53074 58171],"[12.20866884 20.19640899 17.43587309 23.29142712 31.49778325 42.4192503
 51.41052432 53.91775142 36.73816238 36.64558072 25.41505886 20.05354243]","[217.15526602 218.86627271 183.58729576 200.24028835 201.04543627
 205.50760378 190.29495718 183.41892883 195.35065442 192.19680953
 196.19383951]",[ 4892  9479 14487 19708 24692 29612 34672 40026 45311 50472 55622],198.5324865787132,"[46.78779112 39.94709571 50.36959768 54.72726804 74.90060518 86.40121619
 90.1349549  88.63905337 73.71958084 77.52613738 59.53885573 49.01156443]",-0.252534093503282,-0.39003224272630627
66,44983.406,[-22.599 -22.598 -22.597 ...  13.92   13.921  13.922],[1.75968004 1.75968477 1.75969637 ... 3.05512243 3.05472978 3.0543364 ],36.522,44960807,44997329,"{'Start_end': array([[ 4220,  8068, 14964, 19952, 25275, 30511],
       [ 7376, 14964, 18244, 25246, 30511, 34813]])}",6,[ 5798 11516 16604 22599 27893 32662],[12.98007659 13.23334158 16.24845089 17.75857266 10.37309148 12.00776271],[174.88632389 196.5408805  166.80567139 188.89308651 209.68756553],[ 8657 14060 19601 25246 30277],187.3627055651683,[32.77471265 51.22576215 36.56516127 49.96688436 35.71011595 26.79909653],1.1226851736869183,1.1226851736869183
67,45799.62,[-6.794 -6.793 -6.792 ... 10.779 10.78  10.781],[2.01542231 2.01569052 2.01595583 ... 3.09239119 3.09330987 3.09422879],17.576,45792826,45810402,"{'Start_end': array([[ 3021, 10567],
       [10567, 13833]])}",2,[ 6794 12200],[18.58827492 10.2879927 ],[184.97965224],[9497],184.9796522382538,[60.28510273 24.89473774],,
68,46229.399,[-24.322 -24.321 -24.32  ...  23.947  23.948  23.949],[1.95036943 2.06321541 2.06340023 ... 3.15485544 3.15491108 3.15497   ],48.272,46205077,46253349,"{'Start_end': array([[    0,  8567, 13759, 18363, 21947, 27005, 32106, 37834, 43014],
       [ 7818, 11533, 17151, 21947, 26697, 31939, 37834, 42854, 48186]])}",9,[ 3909 10050 15455 20155 24322 29472 34970 40344 45600],"[10.9370964  15.15663698 23.17293146 23.80788674 34.48468091 31.95496479
 29.24705496 25.77900882 21.11332172]","[162.83992835 185.01387604 212.76595745 239.98080154 194.17475728
 181.88432157 186.08113137 190.2587519 ]",[ 6979 12752 17805 22238 26897 32221 37657 42972],194.12494068784005,"[52.01740498 30.80442619 53.11805786 63.34719162 97.66517619 87.24015454
 72.14539387 56.23618683 60.51617396]",0.1444589947716934,0.1444589947716934
69,47030.567,[-17.022 -17.021 -17.02  ...   8.283   8.284   8.285],[0.         0.         0.         ... 4.88454204 4.88450424 4.88446379],25.308,47013545,47038853,"{'Start_end': array([[ 3002,  9386, 13994, 20050],
       [ 9386, 13930, 20050, 24706]])}",4,[ 6194 11658 17022 22378],[16.08989429 14.04618049 19.29467166 12.60854734],[183.01610542 186.42803878 186.70649739],[ 8926 14340 19700],185.38354719347262,[46.26508928 36.03154844 50.90552524 39.46874098],0.34301058884565366,0.34301058884565366
70,47171.574,[-11.148 -11.147 -11.146 ...   7.322   7.323   7.324],[0.53329076 0.53430177 0.53531255 ... 3.6140504  3.61469177 3.61533942],18.473,47160426,47178899,"{'Start_end': array([[  770,  8824, 16152],
       [ 8824, 13472, 18164]])}",3,[ 4797 11148 17158],[10.79336304 21.02480471 11.11862164],[157.45551882 166.38935108],[ 7972 14153],161.92243494873264,[49.46333092 53.29586498 17.12205263],1.4453700478233726,1.4453700478233726
71,48240.201,[-16.935 -16.934 -16.933 ...  24.882  24.883  24.884],[4.86065279 4.86155171 4.86244613 ... 2.60125867 2.60178565 2.6023132 ],41.82,48223266,48265086,"{'Start_end': array([[    0,  5006, 10170, 15017, 19627, 23500, 30460, 36204],
       [ 4400,  8352, 14842, 18853, 23475, 30460, 34872, 41322]])}",8,[ 2200  6679 12506 16935 21551 26980 32666 38763],"[10.89921727 14.89669868 35.09244345 54.66657445 52.33648788 39.04337337
 31.36253804 11.32209509]","[223.26412146 171.61489617 225.78460149 216.63778163 184.19598453
 175.87055927 164.01508939]",[ 4439  9592 14720 19243 24265 29823 35714],194.48329056172912,"[ 36.13505223  38.08570586  83.39974964 103.04625766 109.10922519
 142.63117647  80.8029912   33.56315264]",-1.483255308605669,-1.483255308605669
72,48364.159,[-10.384 -10.383 -10.382 ...   4.814   4.815   4.816],[1.26428544 1.26541773 1.26655172 ... 2.10844156 2.1080128  2.10758529],15.201,48353775,48368976,"{'Start_end': array([[ 3940,  7570],
       [ 7570, 13198]])}",2,[ 5755 10384],[12.14677106 15.76056277],[216.02938],[8069],216.0293799956794,[33.53912384 53.11108019],,
73,48782.664000000004,[-29.398 -29.397 -29.396 ...  34.887  34.888  34.889],[3.14313223 3.14446611 3.14579706 ... 0.19238927 0.19173051 0.19107324],64.288,48753266,48817554,"{'Start_end': array([[ 2410,  7634, 12866, 18183, 22121, 27464, 31332, 36689, 42862,
        48190, 52816],
       [ 7634, 11830, 17730, 21407, 27125, 31332, 36590, 42591, 48006,
        52816, 57562]])}",11,[ 5022  9732 15298 19795 24623 29398 33961 39640 45434 50503 55189],"[11.52894437 12.81672499 13.40556682 19.85814471 34.21889855 58.24524875
 54.33862961 30.22484504 22.50160656 12.52889732 10.15362851]","[212.31422505 179.662235   222.3704692  207.12510356 209.42408377
 219.15406531 176.08733932 172.5923369  197.27756954 213.40162185]",[ 7377 12515 17546 22209 27010 31679 36800 42537 47968 52846],200.94090495062824,"[41.93072425 38.70027624 40.8133683  41.90279588 78.94182871 97.72142698
 95.6703255  70.76390283 53.22838661 33.26712073 26.78933768]",-0.5034080940604628,-0.23919318683013246
74,49014.212,[-15.482 -15.481 -15.48  ...  14.401  14.402  14.403],[0.58042511 0.69255    0.69201084 ... 0.11402421 0.11356971 0.11311656],29.886,48998730,49028616,"{'Start_end': array([[ 7822, 11584, 20649],
       [11584, 19380, 24111]])}",3,[ 9703 15482 22380],[11.3266516  15.70095484 11.18433114],[173.04031839 144.96955639],[12592 18931],159.00493739367164,[31.30106084 73.31639031 28.39059245],-4.428263448655688,-4.428263448655688
75,49814.681000000004,[-9.604 -9.603 -9.602 ...  3.557  3.558  3.559],[5.04280354 5.04410511 5.04541201 ... 2.74309245 2.74298352 2.74287664],13.164,49805077,49818241,"{'Start_end': array([[    0,  6346],
       [ 5160, 12862]])}",2,[2580 9604],[10.41871024 15.20734654],[142.3690205],[6092],142.36902050113895,[43.67278026 45.46072442],,
