,Max_peak_time,Time_array,Signal_array,Duration,Index_start,Index_end,Oscillation_events,Num_peaks,Peaks_indexes,Peaks_heights,Instant_frequency,Indices_frequency,Mean_frequency,Spikes_per_cycle,Short_freq_time_slope,Long_freq_time_slope
11,10497.634,[-33.352 -33.351 -33.35  ...  26.934  26.935  26.936],[1.64548868 1.75860601 1.75906247 ... 0.11402421 0.11356971 0.11311656],60.289,10464282,10524571,"{'Start_end': array([[ 2465,  6026, 12182, 15927, 21440, 26133, 31491, 36428, 41739,
        47155, 52309, 57528],
       [ 5133, 11300, 14914, 20955, 25236, 30455, 35213, 40150, 45451,
        50375, 55417, 60288]])}",12,[ 3799  8663 13548 18441 23338 28294 33352 38289 43595 48765 53863 58908],"[10.81735425 15.26960887 19.17260564 24.09630739 27.88256665 35.97148616
 47.34977351 40.87219993 33.50250363 19.42641414 16.43593678 10.69790189]","[205.59210526 204.70829069 204.37359493 204.20665714 201.7756255
 197.7066034  202.55215718 188.46588767 193.42359768 196.15535504
 198.2160555 ]",[ 6231 11105 15994 20889 25816 30823 35820 40942 46180 51314 56385],199.74326636344466,"[16.62073773 28.00859912 26.03332989 34.48991451 40.75440891 53.58624643
 69.97902793 64.8884995  47.97541856 28.99759294 23.57567132 13.99931744]",-0.34488205207956946,-0.2432601746412316
12,11445.407,[-2.348 -2.347 -2.346 ...  7.335  7.336  7.337],[0.15098323 0.26354189 0.26343859 ... 0.11402421 0.11356971 0.11311656],9.686,11443059,11452745,"{'Start_end': array([[  76, 6587],
       [4620, 9685]])}",2,[2348 8136],[9.37899444 6.63845186],[172.77125086],[5242],172.77125086385624,[18.98294851 10.24466151],,
13,13057.537,[-18.354 -18.353 -18.352 ...  68.882  68.883  68.884],[3.55976565 3.56029021 3.56080816 ... 0.11402421 0.11356971 0.11311656],87.239,13039183,13126422,"{'Start_end': array([[  417,  6713, 11299, 16080, 21587, 26720, 31967, 37442, 42580,
        47552, 51873, 57320, 62694, 67468, 72194, 78202, 83121],
       [ 6187, 10591, 15699, 20628, 24951, 30320, 35641, 40800, 45778,
        50818, 56369, 61218, 66190, 71732, 77132, 81384, 86653]])}",17,"[ 3302  8652 13499 18354 23269 28520 33804 39121 44179 49185 54121 59269
 64442 69600 74663 79793 84887]","[ 7.78702843 14.62498449 30.26348964 41.50232303 34.99205091 29.05077518
 23.59676924 28.99193132 30.09632747 36.79832334 33.4020006  30.47362732
 33.49198782 31.39768259 29.88024401 24.95213811 19.50795243]","[186.91588785 206.31318341 205.97322348 203.45879959 190.43991621
 189.25056775 188.0759827  197.7066034  199.76028765 202.59319287
 194.25019425 193.31142471 193.87359442 197.5113569  194.93177388
 196.30938359]","[ 5977 11075 15926 20811 25894 31162 36462 41650 46682 51653 56695 61855
 67021 72131 77228 82340]",196.29221079116806,"[25.74665545 31.83436997 46.63366835 63.90165988 56.40825446 47.22926271
 35.98901884 42.99746611 41.9856376  53.47607947 51.97087132 46.99341731
 48.83437978 48.72932369 48.70857866 37.83077651 30.79538083]",-0.32970466303490026,-0.027562336764267423
14,13165.145,[-69.413 -69.412 -69.411 ...  26.511  26.512  26.513],[0.         0.         0.         ... 0.11402421 0.11356971 0.11311656],95.927,13095732,13191659,"{'Start_end': array([[  771,  6145, 10919, 15645, 21653, 26572, 31798, 36989, 40806,
        46676, 52147, 57135, 62181, 67869, 73199, 78472, 83157, 88578,
        93322],
       [ 4669,  9641, 15183, 20583, 24835, 30104, 35376, 40315, 46676,
        50790, 55615, 61001, 66559, 70957, 76355, 81272, 86529, 90982,
        95926]])}",19,"[ 2720  7893 13051 18114 23244 28338 33587 38652 43741 48733 53881 59068
 64370 69413 74777 79872 84843 89780 94624]","[30.47362732 33.49198782 31.39768259 29.88024401 24.95213811 19.50795243
 21.7372643  31.94959435 34.75345972 32.07534454 26.12903585 20.37442972
 18.09679899 18.10380153 17.66067827 14.51709818 15.75430582 14.27376566
  7.43568095]","[193.31142471 193.87359442 197.5113569  194.93177388 196.30938359
 190.51247857 197.43336624 196.50225978 200.32051282 194.25019425
 192.78966647 188.60807243 198.29466587 186.42803878 196.27085378
 201.16676725 202.55215718 206.44095789]","[ 5306 10472 15582 20679 25791 30962 36119 41196 46237 51307 56474 61719
 66891 72095 77324 82357 87311 92202]",195.97264026610858,"[46.99341731 48.83437978 48.72932369 48.70857866 37.83077651 30.79538083
 35.89485907 48.90064583 56.93197701 50.8366314  46.54244923 33.97629721
 33.26073291 26.88830042 25.76811464 21.02469623 21.99209263 17.95450803
  9.90866449]",0.2548972542140032,0.06411860248829598
15,13555.565,[-22.154 -22.153 -22.152 ...  27.892  27.893  27.894],[1.94174489 1.94255644 1.94336271 ... 0.11402421 0.11356971 0.11311656],50.049,13533411,13583460,"{'Start_end': array([[  928,  5421, 10625, 14776, 20519, 25466, 30521, 36051, 41265,
        46654],
       [ 4876,  9855, 14627, 19920, 23789, 28722, 34479, 39777, 45059,
        50048]])}",10,[ 2902  7638 12626 17348 22154 27094 32500 37914 43162 48351],"[ 7.9904172  12.81879616 18.48674165 29.10073442 41.18294014 31.07096651
 25.73280569 19.78762797 14.59855289  9.91379052]","[211.14864865 200.48115477 211.77467175 208.07324178 202.4291498
 184.97965224 184.70631696 190.54878049 192.71535941]",[ 5270 10132 14987 19751 24624 29797 35207 40538 45756],198.53966398269785,"[17.76954645 23.39322975 30.8711678  44.793322   62.8582023  52.18173091
 49.86804285 31.94669313 24.96514246 15.84227822]",-0.7348049287688155,-0.5937613484870287
16,14339.688,[-32.298 -32.297 -32.296 ...  22.039  22.04   22.041],[0.         0.         0.         ... 0.11402421 0.11356971 0.11311656],54.34,14307390,14361730,"{'Start_end': array([[12507, 20285, 25177, 30155, 35325, 40472, 46112, 51697],
       [20033, 25177, 29339, 34441, 39077, 44372, 49114, 54339]])}",8,[16270 22731 27258 32298 37201 42422 47613 53018],"[ 8.43391197 13.34209316 29.60272015 44.2810133  41.22744422 19.45582911
 10.64941617  6.69300061]","[154.77480266 220.89684118 198.41269841 203.95676117 191.53418885
 192.64110961 185.01387604]",[19500 24994 29778 34749 39811 45017 50315],192.4614682746905,"[40.1107499  46.74535298 68.44137863 90.95726684 73.47304197 31.88706311
 17.71810253  8.97220866]",0.2052467527007689,0.2052467527007689
17,14585.496,[-16.901 -16.9   -16.899 ...  21.687  21.688  21.689],[2.85461341 2.9658306  2.96438631 ... 0.11402421 0.11356971 0.11311656],38.591,14568595,14607186,"{'Start_end': array([[    0,  4775,  9956, 14406, 20338, 25549, 30462, 35870],
       [ 3080,  8477, 14042, 19396, 23722, 28669, 33784, 38590]])}",8,[ 1540  6626 11999 16901 22030 27109 32123 37230],"[ 8.1668572  12.33310273 20.99704365 27.4295184  26.72235698 19.96571882
 14.71114291  7.79554323]","[196.61816752 186.11576401 203.99836801 194.96977968 196.88915141
 199.44156362 195.809673  ]",[ 4083  9312 14450 19465 24569 29616 34676],196.26320960693673,"[18.48267628 33.34994437 39.66207681 43.68040076 38.99498558 28.6727928
 20.99716275 10.89570031]",0.12041081080614648,0.12041081080614648
18,17908.01,[-19.364 -19.363 -19.362 ...  17.834  17.835  17.836],[2.42938003 2.42966701 2.42995603 ... 0.11402421 0.11356971 0.11311656],37.201,17888646,17925847,"{'Start_end': array([[ 3233,  7902, 11968, 17236, 22166, 27344, 33884],
       [ 6481, 11484, 17236, 21492, 26274, 31892, 37200]])}",7,[ 4857  9693 14602 19364 24220 29618 35542],"[ 6.97786957 15.88844661 36.41694557 56.71754784 41.73174004 19.5727818
 11.40693473]","[206.78246485 203.70747606 209.99580008 205.93080725 185.2537977
 168.80486158]",[ 7275 12147 16983 21792 26919 32580],196.7458679211636,"[17.92425731 29.6186282  70.0848011  96.99565672 72.16914719 41.81926475
 21.3275987 ]",-1.4437447211671985,-1.4437447211671985
19,18410.032,[-32.899 -32.898 -32.897 ...  16.952  16.953  16.954],[2.99500533 2.99514758 2.99529137 ... 0.11402421 0.11356971 0.11311656],49.854,18377133,18426987,"{'Start_end': array([[ 1660,  5187, 10823, 15861, 21449, 26114, 31148, 35988, 41451,
        47239],
       [ 4754, 10823, 15247, 20081, 24307, 29722, 34650, 39738, 44531,
        49853]])}",10,[ 3207  8005 13035 17971 22878 27918 32899 37863 42991 48546],"[ 9.51061782 11.85326143 14.08008237 21.08101008 25.39184575 30.96922074
 38.43532526 35.43968571 18.42442748  6.82466082]","[208.42017507 198.80715706 202.59319287 203.79050336 198.41269841
 200.76289902 201.45044319 195.00780031 180.0180018 ]",[ 5606 10520 15503 20424 25398 30408 35381 40427 45768],198.80698567711016,"[20.23649094 33.06921636 27.67465978 31.68547128 36.69884281 45.30753472
 58.96229909 55.91576374 28.59595447  9.86204963]",-0.5891769602608157,-0.4370854242326902
20,18682.795,[-22.511 -22.51  -22.509 ...  22.212  22.213  22.214],[2.38876201 2.50061743 2.49980522 ... 0.11402421 0.11356971 0.11311656],44.726,18660284,18705010,"{'Start_end': array([[    0,  5507, 10996, 15518, 20476, 25178, 30112, 36392, 41945],
       [ 3918,  7913, 14746, 19946, 24546, 29968, 35548, 39980, 44563]])}",9,[ 1959  6710 12871 17732 22511 27573 32830 38186 43254],"[ 7.76105992  9.38230612 16.45531575 37.48478429 64.13177533 49.25123159
 27.37937903 16.04186092  6.73815407]","[210.48200379 162.3113131  205.71898786 209.24879682 197.55037535
 190.2225604  186.70649739 197.31649566]",[ 4334  9790 15301 20121 25042 30201 35508 40720],194.9446287944649,"[19.1734022  15.83257733 28.86658732 56.59179234 92.33951533 84.73522531
 44.96949499 24.97529006  8.97447205]",-0.06520944421421976,-0.06520944421421976
